Point d'echantillonnage,Nom,Localisation,Administration,Latitude,Longitude,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FSL-190,Parc J.-Drapeau (pl.Nations),"Ile Sainte-Helene, Parc Jean-Drapeau, ancienne Place des Nations",Ville-Marie,"45,506499332","-73,5328610369",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-200,Marina du Vieux-Port,"Marina du Vieux-Port de Montreal, rue Quai-Jacques-Cartier",Ville-Marie,"45,5060457683","-73,5501352133",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-201,Quai Jacques-Cartier,"Ville-Marie, 350m aæ l'est de l'intersection des rues Saint-Gabriel et de la Commune, Quai Jacques-Cartier, quai principal du Port d'Escale.",Ville-Marie,"45,5053211569","-73,5514872868",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSL-205,Bassin de l'Horloge,"Vieux-Port de Montreal, 250m aæ l'est de l'inters. de la rue St-Andre et de la rue Commune E., quai de l'horloge",Ville-Marie,"45,5127073133","-73,5458904318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FSL-300,Parc Prom. Bellerive (amont),Parc de la Promenade Bellerive aæ la hauteur de la rue Bellerive et av.Mercier,Mercier-Hochelaga-Maisonneuve,"45,5952677651","-73,5078879474",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-310,Parc Prom. Bellerive (aval),Parc de la Promenade Bellerive aæ la hauteur de rue Bellerive et av.Gonthier,Mercier-Hochelaga-Maisonneuve,"45,6098802855","-73,507173851",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-330,Parc Rene-Labrosse,"Parc Rene-Labrosse, aæ la hauteur de pl. de l'eglise et Sainte-Julie",Montreal-Est,"45,6299023617","-73,4946350187",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-340,Parc Fort-Pointe-aux-Trembles,"Parc Fort-de-Pointe-aux-Trembles, aæ la hauteur du boul. Saint-Jean-Baptiste et rue Bellerive",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6397340631","-73,4872669398",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-360,Marina P.A.T.,"Marina P.A.T., aæ la hauteur de la rue Notre-Dame et boul. Tricentenaire",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6493723435","-73,4864471519",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-380,Rampe de mise aæ l'eau (36e),"rampe de mise aæ l'eau, entre la 36e et la 39e av.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6589095463","-73,4890775411",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-390,Au bout de la 43e av.,"Riviere-des-Prairies / Pointe-aux-Trembles, 75m aæ l'extremite est de l'av. 43e.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,663498094","-73,4914050539",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FSL-400,Parc C.-De-La-Rousseliere,"Parc Clementine-de-La-Rousseliere, aæ la hauteur du boul. de la Rousseliere et rue Notre-Dame E.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6675847206","-73,4914486745",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-410,Havre Liberte,"Riviere-des-Prairies / Pointe-aux-Trembles, 50m au nord-est de l'extremite de l'av. 55e.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6713987686","-73,4912472066",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
FSL-420,60e Avenue,"Riviere-des-Prairies / Pointe-aux-Trembles, 25m aæ l'est de l'extremite de la 60e av.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6750175783","-73,4905634441",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
FSL-425,Parc Marcel-Leger,"Parc Marcel-Leger, aæ l'extremite de la rue Frana_oise-Langlois",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6770544181","-73,4904799109",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
FSL-430,P-N Pointe-aux-Prairies (67e),"Parc-Nature de la Pointe-aux-Prairies, en aval de la 67e av.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6798377844","-73,4901725843",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-460,Parc Pierre-Payet,"Parc Pierre-Payet, aæ la hauteur de 82e av. et rue Bellerive",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6886499764","-73,4854959621",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-480,rampe de mise aæ l'eau Pauline-Donalda,"Parc Pierre-Payet, aæ la hauteur de la rue Pauline-Donalda et Bellerive, rampe de mise aæ l'eau",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6923093293","-73,482204899",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-490,amont du parc du Bout-de-l'Ile,En amont du parc du Bout-de-l'Ile aæ la hauteur de la 94e av. et de Bellerive,Riviere-des-Prairies-Pointe-aux-Trembles,"45,6974244614","-73,479818878",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
FSL-500,Parc du Bout-de-l'Ile (fleuve),"Parc du Bout-de-l'Ile (fleuve), aæ la hauteur de la rue Bureau et de 101 av.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,7006545581","-73,4782170121",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
