Point d'echantillonnage,Nom,Localisation,Administration,Latitude,Longitude,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
RDP-130,chemin de la rive Boisee,"Pierrefonds-Roxboro, 250m au nord-ouest de l'intersection du ch. de la Rive-Boisee et du boul. Gouin.",Pierrefonds-Roxboro,"45,4957143663","-73,8532823485",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDP-140,Parc de la Rive-Boisee,"Parc de la Rive-Boisee, en amont de la rue David, aæ la hauteur du ch. De la rive Boisee",Pierrefonds-Roxboro,"45,4987086915","-73,854787842",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-150,Extremite de la rue du Bocage,"aó  l'extremite de la rue du Bocage, aæ la hauteur du boul. Gouin O.",Pierrefonds-Roxboro,"45,4995823432","-73,8581831483",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-160,Parc de Versailles,"Parc de Versailles, aæ la hauteur des rues Desjardins et William",Pierrefonds-Roxboro,"45,5122798143","-73,8487562522",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-180,Parc Rapides-du-Cheval-Blanc,"Parc Rapides du Cheval Blanc, aæ l'extremite de la rue Riviera, aæ la hauteur du boul. Riverdale",Pierrefonds-Roxboro,"45,5169163679","-73,8294529669",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-190,Parc de l'Ile de Roxboro,"Parc de l'Ile de Roxboro, aæ l'extremite de la 5e av., aæ la hauteur du boul. Gouin O.",Pierrefonds-Roxboro,"45,5138458736","-73,8211930772",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-195,Parc Louise-DeschaÈnes,"Parc Louise-DeschaÈnes, aæ l'extremite de la 1e av., aæ la hauteur de la 3e rue",Pierrefonds-Roxboro,"45,5156240515","-73,8132896592",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-20,Pointe aux moutons,"Baie amont de la Pointe aux moutons, sur ch. Senneville en aval de av. Sunset",Senneville,"45,4172831375","-73,9642541042",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-200,Parc Paquin,"Parc Paquin, aæ la hauteur des rues du Belvedere et Saraguay E.",Pierrefonds-Roxboro,"45,5107174656","-73,7992087222",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-220,Parc Anciens-Combattants,"Parc des Anciens-Combattants, aæ la hauteur du boul. Lalande et rue Rose",Pierrefonds-Roxboro,"45,5094237578","-73,784565176",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-240,rue Hortie,"Pierrefonds-Roxboro, 200m au nord de l'intersection du boul. Gouin et de la rue Hortie.",Pierrefonds-Roxboro,"45,5086526888","-73,7739100812",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDP-25,Club nautique de Senneville,"Senneville, 350m au sud de l'intersection du ch. Senneville et de l'autoroute Transcanadienne, aæ l'interieur de la jetee du Club de voile Senneville.",Senneville,"45,4184970572","-73,9685300146",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RDP-250,P-N du Bois-de-Liesse,"Parc-Nature du Bois-de-Liesse, aæ la hauteur des boul. Gouin O. et Pitfield",Pierrefonds-Roxboro,"45,5102537442","-73,7621436271",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-255,pont du ruisseau Bertrand,"Ahuntsic-Cartierville, av. du Ruisseau, ponceau surplombant le ruisseau Bertrand.",Ahuntsic-Cartierville,"45,5117082636","-73,7555083576",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RDP-260,College Ste-Marcelline,"Ahuntsic-Cartierville, 375m au nord de l'intersection du boul.Gouin et de l'av. LeMesurier, Parc regional du Bois-de-Saraguay.",Ahuntsic-Cartierville,"45,5171772156","-73,7487905396",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
RDP-275,0,"Au bout de la rue Olivier, en amont du parc Beausejour.",Ahuntsic-Cartierville,"45,5271480738","-73,7348566967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RDP-280,Parc Beausejour,"Ahuntsic-Cartierville, 350m au nord-ouest de l'intersection du boul. Gouin et de la rue Henri-D'Arles, Parc Beausejour.",Ahuntsic-Cartierville,"45,5293217742","-73,7331970794",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
RDP-290,Club canotage de Cartierville,"Club de canotage de Cartierville, aæ l'extremite de la rue Crevier, aæ la hauteur du boul. Gouin",Ahuntsic-Cartierville,"45,5309713451","-73,7283541001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-30,Club de voile de Senneville,"Club de voile de Senneville, aæ la hauteur du ch. Senneville et de l'A40",Senneville,"45,4181157143","-73,9697031123",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-300,Rue Notre-Dame-des-Anges,"Ahuntsic-Cartierville, extremite de la rue Notre-Dame-des-Anges.",Ahuntsic-Cartierville,"45,5368647558","-73,7200929273",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RDP-305,Parc Raimbault,"Parc Raimbault, aæ la hauteur des rues Notre-Dame-des-Anges et du Bocage",Ahuntsic-Cartierville,"45,5372133685","-73,7168236731",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-310,Parc des Bateliers,"Ahuntsic-Cartierville, parc des Bateliers, au bout du boul. de l'Acadie",Ahuntsic-Cartierville,"45,5447989549","-73,7032448278",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
RDP-320,Parc de la Merci,"Parc de La Merci, aæ la hauteur du boul. Gouin ouest et rue de Salaberry",Ahuntsic-Cartierville,"45,5477039083","-73,6891037929",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-330,Parc Nicolas-Viel,"Parc Nicolas-Viel, aæ la hauteur du boul. Saint-Laurent et rue Somerville",Ahuntsic-Cartierville,"45,5520195665","-73,6770458449",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-340,Parc Stanley,"Ahuntsic-Cartierville, 50m aæ l'ouest de l'intersection des av. Durham Park Stanley, Parc Stanley.",Ahuntsic-Cartierville,"45,55953036","-73,6723919881",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
RDP-35,Amont de av. Phillips,aó la hauteur du ch.Senneville en amont de av. Phillips,Senneville,"45,4434664257","-73,9580747491",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
RDP-350,Promenade Gouin (Sophie-Barat),"Promenade Gouin (Sophie-Barat), aæ la hauteur du boul. Gouin O. et av. Saint-Charles",Ahuntsic-Cartierville,"45,561892933","-73,6695979331",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-360,P-N de-la-Visitation (pont),"Parc-nature de l'Ile-de-la-Visitation (pont pietonnier), aæ la hauteur du boul. Gouin E. et rue de Lille",Ahuntsic-Cartierville,"45,5806987878","-73,6573986554",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-370,P-N de l'Ile-de-la-Visitation,"Ahuntsic-Cartierville, 350m au nord de la rue D'Iberville, extremite est de l'Ile-de-la-Visitation, au pied du belvedere.",Ahuntsic-Cartierville,"45,5821180752","-73,6573677066",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
RDP-380,Parc Aime-Leonard,"Parc Aime-Leonard, aæ la hauteur du boul. Albert-Brosseau et rue Savard",Montreal-Nord,"45,6031151519","-73,6428372769",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-385,Avenue Pigeon,"Montreal-Nord, 125m aæ l'ouest de l'intersection des boul. Gouin et Sainte-Gertrude, bout de la rue Pigeon.",Montreal-Nord,"45,6082315615","-73,6403181948",0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
RDP-40,Baie Forget,"Senneville, 400m aæ l'est de l'intersection du ch. Senneville et de l'av. Phillips.",Senneville,"45,4456567269","-73,9515846467",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
RDP-400,Parc Fortin,"Montreal-Nord, 25m aæ l'ouest de l'intersection du boul. Gouin et de l'av. Fortin.",Montreal-Nord,"45,6212699865","-73,6315517095",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
RDP-420,Parc Ernest-Rouleau,"Parc Ernest-Rouleau,aæ la hauteur du boul. Gouin et aæ l'Est de av. Ozias-Leduc",Riviere-des-Prairies-Pointe-aux-Trembles,"45,631716767","-73,616517776",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-440,Parc Andre-Corbeil,"Parc Andre-Corbeil-dit-Tranchemontagne, aæ la hauteur de 28e av. et boul. Gouin O.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6453381403","-73,5964709635",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-460,Parc Moulin-du-Rapide,"Parc Moulin-du-Rapide, aæ la hauteur de 58e av. et de Clichy",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6606035678","-73,5730630767",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-480,Parc du Cheval-Blanc,"Parc du Cheval-Blanc, aæ l'est de 68e av., aæ la hauteur de Gouin O.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6633909888","-73,5628566024",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-490,Parc des Cageux,"Parc des Cageux, aæ la hauteur de la 94e av. et boul. Gouin O.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6759697314","-73,5373096862",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RDP-500,P-N de la Pointe-aux-Prairies,"Riviere-des-Prairies / Pointe-aux-Trembles, 200m au nord de l'intersection du boul. Gouin et la rue Mathieu-de-Costa",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6813352329","-73,5328859941",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
RDP-520,Pont Charles-de Gaulle,"Pont Charles-De-Gaulle, aæ la hauteur de l'aut. 40 et boul. Gouin O.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6991652049","-73,5086830479",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-540,Parc Gouin (Haynes),"Parc Gouin (Haynes), aæ la hauteur de la 133e av. et boul. Gouin",Riviere-des-Prairies-Pointe-aux-Trembles,"45,6974867522","-73,4981591152",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-550,ex-Marina Clement,"Riviere-des-Prairies / Pointe-aux-Trembles, 100m au nord-ouest de l'intersection de l'av. 100e et de la rue Notre-Dame.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,701252737","-73,4847529566",0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
RDP-560,Parc du Bout-de-l'Ile (RDP),"Parc du Bout-de-l'Ile (cote riviere), aæ la hauteur de la rue Bureau et de 101e av.",Riviere-des-Prairies-Pointe-aux-Trembles,"45,7024250401","-73,4786898809",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-60,P-N Anse-aæ-l'Orme,"Parc-Nature de l'Anse aæ l'Orme,aæ la hauteur du boul. Gouin et aæ l'est de rue Lauzon",Pierrefonds-Roxboro,"45,4538272836","-73,9387989837",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-70,P-N du Cap-Saint-Jacques,"Pierrefonds-Roxboro, pres de la rue Charlebois et du chemin du Cap Saint-Jacques, Parc-nature du Cap Saint-Jacques, centre de la plage.",Pierrefonds-Roxboro,"45,4616925065","-73,9417646433",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
RDP-75,P-N Cap-Saint-Jacques,"Parc-Nature du Cap-Saint-Jacques, aæ la rampe de mise aæ l'eau, aæ la hauteur de la rue Pilon et du boul. Gouin",Pierrefonds-Roxboro,"45,4627682664","-73,9184781627",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
RDP-77,Rue Coursol,"Pierrefonds-Roxboro, 100m au nord-ouest de l'intersection des rues Coursol et River.",Pierrefonds-Roxboro,"45,466639032","-73,8918197028",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
RDP-80,Parc Helene-Legault,"Parc Helene-Legault, aæ la hauteur des rues des Cageux et Helene",Pierrefonds-Roxboro,"45,4686628763","-73,888588366",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-95,Parc Julie-Dauth,"Pierrefonds / Roxboro, Parc Julie-Dauth,aæ la hauteur de la rue Julie et du boul. Gouin",Pierrefonds-Roxboro,"45,4710088576","-73,8835397359",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
